"","Year","Site_ID","Plant_gen_sp","plant_id","Fruit_Yes","Fruit_No","Fruit_preyed","Fruit_dispersed","fruit_formado","fruit_total","fruit_proportion","Seeds","Seed_weight","richness","Flower_abundance","Frequency","freq_minute","visitatio_rate","visitation_rate_minute"
"73",2015,"Bonares","Cistus ladanifer","A",7,1,3,0,10,11,0.909090909090909,287.666666666667,0.0795266666666667,2,11.3333333333333,2,0.4,0.176470588235294,0.0352941176470588
"74",2015,"Bonares","Cistus ladanifer","B",11,0,3,0,14,14,1,213,0.050955,1,8.5,1,0.2,0.117647058823529,0.0235294117647059
"75",2015,"Bonares","Cistus ladanifer","C",4,0,1,0,5,5,1,269.666666666667,0.06537,1,5.5,3,0.6,0.545454545454545,0.109090909090909
"76",2018,"Bonares","Cistus ladanifer","A",2,0,0,0,2,2,1,499.5,0.1312,1,12,2,0.666666666666667,0.166666666666667,0.0555555555555556
"77",2018,"Bonares","Cistus ladanifer","B",2,0,0,0,2,2,1,515,0.13741,2,3,6,2,2,0.666666666666667
"78",2018,"Bonares","Cistus ladanifer","C",1,0,2,0,3,3,1,505,0.134285,1,4,15,5,3.75,1.25
"79",2019,"Bonares","Cistus ladanifer","A",0,0,1,0,1,1,1,247,0.04523,1,5,2,0.666666666666667,0.4,0.133333333333333
"80",2019,"Bonares","Cistus ladanifer","B",1,0,0,0,1,1,1,655,0.12706,3,7,8,2.66666666666667,1.14285714285714,0.380952380952381
"81",2019,"Bonares","Cistus ladanifer","C",1,0,0,0,1,1,1,611,0.13585,1,2,1,0.333333333333333,0.5,0.166666666666667
"82",2015,"Bonares","Cistus salviifolius","A",11,2,0,0,11,13,0.846153846153846,60,0.0720366666666667,2,40,3,0.6,0.075,0.015
"83",2015,"Bonares","Cistus salviifolius","B",9,5,0,0,9,14,0.642857142857143,40.6,0.033884,2,29.6666666666667,3,0.6,0.101123595505618,0.0202247191011236
"84",2015,"Bonares","Cistus salviifolius","C",7,0,1,0,8,8,1,57.6666666666667,0.0551433333333333,4,36,5,1,0.138888888888889,0.0277777777777778
