"","Year","Site_ID","Plant_sp","plant_id","richness08","richness","Coleop_freq","Coleop_visit","Dip_freq","Dip_visit","Hym_freq","Hym_visit","flower_abundance","Frequency","visitatio_rate","Fruit_proportion","Fruit_Yes","Fruit_No","Fruit_Total","Seeds","Seed_weight"
"115",2016,"Bonares","Halimium halimifolium","A",1,1,1,0.142857142857143,0,0,0,0,7,1,0.142857142857143,0,0,0,0,0,0
"116",2018,"Bonares","Halimium halimifolium","A",0,1,0,0,0,0,4,0.266666666666667,15,4,0.266666666666667,1,2,0,2,11.5,0.007805
"117",2018,"Bonares","Halimium halimifolium","B",2,2,1,0.0185185185185185,0,0,6,0.111111111111111,54,7,0.12962962962963,0.666666666666667,2,1,3,15.5,0.008245
"118",2018,"Bonares","Halimium halimifolium","C",3,3,5,0.0220264317180617,0,0,39,0.171806167400881,227,44,0.193832599118943,0.714285714285714,5,2,7,11.3333333333333,0.00528333333333333
"119",2018,"Bonares","Halimium halimifolium","D",3,3,0,0,1,0.0104166666666667,8,0.0833333333333333,96,9,0.09375,1,2,0,2,8.5,0.00604
"120",2017,"Bonares","Lavandula pedunculata","A",0,0,0,0,0,0,0,0,0,0,0,0.732954545454545,129,47,176,1,0.000585714285714286
"121",2017,"Bonares","Lavandula pedunculata","B",0,0,0,0,0,0,0,0,0,0,0,0.803921568627451,123,30,153,1,0.000735714285714286
"122",2015,"Bonares","Lavandula stoechas","A",1,1,0,0,0,0,33,0.0679012345679012,486,33,0.0679012345679012,0.879205046449378,397,54,451,1,0.000637777777777778
"123",2015,"Bonares","Lavandula stoechas","B",2,2,0,0,0,0,50,0.0550660792951542,908,50,0.0550660792951542,0.798204398094175,353,82,435,1,0.000678333333333333
"124",2015,"Bonares","Lavandula stoechas","C",0,0,0,0,0,0,0,0,0,0,0,0.736299536568822,264,91,355,1,0.000551538461538462
"125",2016,"Bonares","Lavandula stoechas","A",2,2,0,0,10,0.0303030303030303,5,0.0151515151515152,330,15,0.0454545454545455,0.89922480620155,116,13,129,1,0.000537777777777778
"126",2016,"Bonares","Lavandula stoechas","B",2,2,0,0,3,0.0272727272727273,15,0.136363636363636,110,18,0.163636363636364,0.915094339622642,97,9,106,1,0.00045
"127",2017,"Bonares","Lavandula stoechas","A",1,1,0,0,0,0,24,0.0631578947368421,380,24,0.0631578947368421,0,0,0,0,0,0
"128",2017,"Bonares","Lavandula stoechas","B",2,2,0,0,0,0,21,0.02625,800,21,0.02625,0,0,0,0,0,0
"129",2018,"Bonares","Lavandula stoechas","A",1,1,0,0,12,0.0171428571428571,0,0,700,12,0.0171428571428571,0,0,0,0,0,0
"130",2015,"Convento de la Luz","Cistus crispus","A",1,1,0,0,0,0,1,0.0384615384615385,26,1,0.0384615384615385,0,0,0,0,0,0
"131",2017,"Convento de la Luz","Cistus crispus","B",0,0,0,0,0,0,0,0,0,0,0,0.55,5,4,9,29.5,0.015565
"132",2018,"Convento de la Luz","Cistus crispus","A",1,1,0,0,0,0,8,0.186046511627907,43,8,0.186046511627907,0.428571428571429,3,4,7,42,0.0212333333333333
"133",2018,"Convento de la Luz","Cistus crispus","B",3,3,1,0.0217391304347826,0,0,2,0.0434782608695652,46,3,0.0652173913043478,0.5,5,5,10,36,0.0203966666666667
"134",2018,"Convento de la Luz","Cistus crispus","C",0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,34.5,0.019205
"135",2018,"Convento de la Luz","Cistus crispus","D",0,0,0,0,0,0,0,0,0,0,0,0.75,6,2,8,34,0.0166766666666667
"136",2015,"Convento de la Luz","Cistus ladanifer","A",5,5,3,0.0238095238095238,0,0,13,0.103174603174603,126,16,0.126984126984127,1,4,0,4,569.5,0.14401
"137",2015,"Convento de la Luz","Cistus ladanifer","B",1,1,0,0,0,0,64,0.876712328767123,73,64,0.876712328767123,0.444444444444444,4,4,8,107,0.03072
"138",2015,"Convento de la Luz","Cistus ladanifer","C",0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,220,0.07946
"139",2016,"Convento de la Luz","Cistus ladanifer","A",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,113,0.04297
"140",2016,"Convento de la Luz","Cistus ladanifer","B",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,417,0.1203
"141",2017,"Convento de la Luz","Cistus ladanifer","A",2,2,4,0.5,0,0,1,0.125,8,5,0.625,1,3,0,3,700.666666666667,0.210983333333333
"142",2017,"Convento de la Luz","Cistus ladanifer","B",1,1,1,0.125,0,0,0,0,8,1,0.125,1,3,0,3,329.333333333333,0.112026666666667
"143",2015,"Convento de la Luz","Cistus salviifolius","A",2,2,0,0,0,0,20,0.10752688172043,186,20,0.10752688172043,1,8,0,8,0,0
"144",2015,"Convento de la Luz","Cistus salviifolius","B",2,3,0,0,1,0.00427350427350427,26,0.111111111111111,234,27,0.115384615384615,1,3,0,3,40.4,0.039378
"145",2015,"Convento de la Luz","Cistus salviifolius","C",0,1,0,0,0,0,2,0.333333333333333,6,2,0.333333333333333,0,0,0,0,0,0
"146",2016,"Convento de la Luz","Cistus salviifolius","A",0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,16.6666666666667,0.0224066666666667
"147",2016,"Convento de la Luz","Cistus salviifolius","B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0164533333333333
"148",2017,"Convento de la Luz","Cistus salviifolius","A",2,2,3,0.0517241379310345,0,0,1,0.0172413793103448,58,4,0.0689655172413793,1,2,0,2,51,0.07006
"149",2017,"Convento de la Luz","Cistus salviifolius","B",0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,56,0.0665366666666667
"150",2018,"Convento de la Luz","Cistus salviifolius","A",0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,51.5,0.05155
"151",2018,"Convento de la Luz","Cistus salviifolius","B",0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,5,2,7,49,0.0529066666666667
"152",2018,"Convento de la Luz","Cistus salviifolius","C",0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,2,1,3,47.5,0.055
"153",2018,"Convento de la Luz","Cistus salviifolius","D",0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,56,0.06417
"154",2015,"Convento de la Luz","Halimium halimifolium","A",0,0,0,0,0,0,0,0,0,0,0,0.738888888888889,12,4,16,15.1111111111111,0.00764333333333333
"155",2015,"Convento de la Luz","Halimium halimifolium","B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",2016,"Convento de la Luz","Halimium halimifolium","A",0,0,0,0,0,0,0,0,0,0,0,0.916666666666667,11,1,12,14.75,0.007675
"157",2016,"Convento de la Luz","Halimium halimifolium","B",0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,2,4,6,18.6666666666667,0.00667
"158",2017,"Convento de la Luz","Halimium halimifolium","A",3,3,2,0.125,0,0,1,0.0625,16,3,0.1875,1,6,0,6,17.3333333333333,0.00861666666666667
"159",2017,"Convento de la Luz","Halimium halimifolium","B",1,1,2,0.25,0,0,0,0,8,2,0.25,1,10,0,10,16.6666666666667,0.00856
"160",2018,"Convento de la Luz","Halimium halimifolium","A",6,6,17,0.0307971014492754,0,0,14,0.0253623188405797,552,31,0.0561594202898551,1,2,0,2,30.5,0.017745
"161",2018,"Convento de la Luz","Halimium halimifolium","B",5,5,8,0.049079754601227,0,0,27,0.165644171779141,163,35,0.214723926380368,0.666666666666667,4,2,6,27.6666666666667,0.0138866666666667
"162",2018,"Convento de la Luz","Halimium halimifolium","C",6,6,5,0.0201612903225806,0,0,21,0.0846774193548387,248,26,0.104838709677419,0.5,2,2,4,24.5,0.013565
"163",2018,"Convento de la Luz","Halimium halimifolium","D",1,1,1,0.0454545454545455,0,0,0,0,22,1,0.0454545454545455,0.7,7,3,10,27.6666666666667,0.0142266666666667
"164",2016,"Convento de la Luz","Lavandula pedunculata","A",1,2,1,0.00578034682080925,0,0,11,0.0635838150289017,173,12,0.069364161849711,0.977611940298508,131,3,134,1,0.000653333333333333
"165",2016,"Convento de la Luz","Lavandula pedunculata","B",0,0,0,0,0,0,0,0,0,0,0,0.902439024390244,111,12,123,1,0.000614
"166",2015,"Convento de la Luz","Lavandula stoechas","A",0,0,0,0,0,0,0,0,0,0,0,0.764029823033612,313,97,410,1,0.000473181818181818
"167",2015,"Convento de la Luz","Rosmarinus officinalis","A",0,0,0,0,0,0,0,0,0,0,0,0.849143610013175,38,10,48,1,8e-04
"168",2015,"Convento de la Luz","Rosmarinus officinalis","B",1,1,0,0,0,0,36,0.514285714285714,70,36,0.514285714285714,0.881907308377897,83,13,96,1,0.000513333333333333
"169",2015,"Convento de la Luz","Rosmarinus officinalis","C",0,0,0,0,0,0,0,0,0,0,0,0.835796923914523,167,34,201,1,0.000402857142857143
"170",2017,"Convento de la Luz","Rosmarinus officinalis","A",1,1,0,0,0,0,23,0.14375,160,23,0.14375,0,0,0,0,0,0
"171",2017,"Convento de la Luz","Rosmarinus officinalis","B",1,1,0,0,0,0,3,0.006,500,3,0.006,0,0,0,0,0,0
"172",2018,"Convento de la Luz","Rosmarinus officinalis","A",3,4,3,0.000923076923076923,2,0.000615384615384615,385,0.118461538461538,3250,390,0.12,0,0,0,0,0,0
"173",2018,"Convento de la Luz","Rosmarinus officinalis","B",1,2,0,0,0,0,610,0.358823529411765,1700,610,0.358823529411765,0,0,0,0,0,0
"174",2018,"Convento de la Luz","Rosmarinus officinalis","C",4,4,0,0,0,0,305,0.254166666666667,1200,305,0.254166666666667,0,0,0,0,0,0
"175",2018,"Convento de la Luz","Rosmarinus officinalis","D",2,2,0,0,0,0,112,0.112,1000,112,0.112,0,0,0,0,0,0
"176",2018,"Convento de la Luz","Rosmarinus officinalis","E",2,3,0,0,0,0,40,0.0476190476190476,840,40,0.0476190476190476,0,0,0,0,0,0
