"","Year","Site_ID","Plant_sp","plant_id","richness08","richness","Coleop_freq","Dip_freq","Hym_freq","Frequency","Fruit_proportion","seed_number","Seed_weight"
"140",2018,"Convento de la Luz","Cistus crispus","D",0,0,0,0,0,0,0.75,34,0.0166766666666667
"141",2015,"Convento de la Luz","Cistus ladanifer","A",5,5,3,0,13,16,1,569.5,0.14401
"142",2015,"Convento de la Luz","Cistus ladanifer","B",1,1,0,0,64,64,0.444444444444444,107,0.03072
"143",2015,"Convento de la Luz","Cistus ladanifer","C",0,0,0,0,0,0,1,220,0.07946
"144",2016,"Convento de la Luz","Cistus ladanifer","A",0,0,0,0,0,0,1,113,0.04297
"145",2016,"Convento de la Luz","Cistus ladanifer","B",0,0,0,0,0,0,1,417,0.1203
"146",2017,"Convento de la Luz","Cistus ladanifer","A",2,2,4,0,1,5,1,700.666666666667,0.210983333333333
"147",2017,"Convento de la Luz","Cistus ladanifer","B",1,1,1,0,0,1,1,329.333333333333,0.112026666666667
"148",2015,"Convento de la Luz","Cistus salviifolius","A",3,3,1,0,20,21,1,0,0
"149",2015,"Convento de la Luz","Cistus salviifolius","B",3,4,1,1,26,28,1,40.4,0.039378
"150",2015,"Convento de la Luz","Cistus salviifolius","C",0,1,0,0,2,2,0,0,0
"151",2016,"Convento de la Luz","Cistus salviifolius","A",0,0,0,0,0,0,1,16.6666666666667,0.0224066666666667
"152",2016,"Convento de la Luz","Cistus salviifolius","B",0,0,0,0,0,0,0,15,0.0164533333333333
"153",2017,"Convento de la Luz","Cistus salviifolius","A",2,2,3,0,1,4,1,51,0.07006
"154",2017,"Convento de la Luz","Cistus salviifolius","B",0,0,0,0,0,0,1,56,0.0665366666666667
"155",2018,"Convento de la Luz","Cistus salviifolius","A",0,0,0,0,0,0,1,51.5,0.05155
"156",2018,"Convento de la Luz","Cistus salviifolius","B",0,0,0,0,0,0,0.714285714285714,49,0.0529066666666667
"157",2018,"Convento de la Luz","Cistus salviifolius","C",0,0,0,0,0,0,0.666666666666667,47.5,0.055
"158",2018,"Convento de la Luz","Cistus salviifolius","D",0,0,0,0,0,0,1,56,0.06417
"159",2015,"Convento de la Luz","Halimium halimifolium","A",0,0,0,0,0,0,0.738888888888889,15.7777777777778,0.00764333333333333
"160",2015,"Convento de la Luz","Halimium halimifolium","B",0,0,0,0,0,0,0,0,0
"161",2016,"Convento de la Luz","Halimium halimifolium","A",0,0,0,0,0,0,0.916666666666667,14.75,0.007675
"162",2016,"Convento de la Luz","Halimium halimifolium","B",0,0,0,0,0,0,0.333333333333333,18.6666666666667,0.00667
"163",2017,"Convento de la Luz","Halimium halimifolium","A",3,3,2,0,1,3,1,17.3333333333333,0.00861666666666667
"164",2017,"Convento de la Luz","Halimium halimifolium","B",1,1,2,0,0,2,1,16.6666666666667,0.00856
"165",2018,"Convento de la Luz","Halimium halimifolium","A",6,6,17,0,14,31,1,30.5,0.017745
"166",2018,"Convento de la Luz","Halimium halimifolium","B",5,5,8,0,27,35,0.666666666666667,27.6666666666667,0.0138866666666667
"167",2018,"Convento de la Luz","Halimium halimifolium","C",6,6,5,0,21,26,0.5,24.5,0.013565
"168",2018,"Convento de la Luz","Halimium halimifolium","D",1,1,1,0,0,1,0.7,27.6666666666667,0.0142266666666667
"169",2016,"Convento de la Luz","Lavandula pedunculata","A",1,2,1,0,11,12,0.977611940298508,1.33333333333333,0.000653333333333333
"170",2016,"Convento de la Luz","Lavandula pedunculata","B",0,0,0,0,0,0,0.902439024390244,1.4,0.000614
"171",2015,"Convento de la Luz","Lavandula stoechas","A",0,0,0,0,0,0,0.764029823033612,2.09090909090909,0.000473181818181818
"172",2015,"Convento de la Luz","Rosmarinus officinalis","A",0,0,0,0,0,0,0.849143610013175,1.33333333333333,8e-04
"173",2015,"Convento de la Luz","Rosmarinus officinalis","B",1,1,0,0,36,36,0.881907308377897,1.91666666666667,0.000513333333333333
"174",2015,"Convento de la Luz","Rosmarinus officinalis","C",0,0,0,0,0,0,0.835796923914523,1.92857142857143,0.000402857142857143
"175",2017,"Convento de la Luz","Rosmarinus officinalis","A",1,1,0,0,23,23,0,0,0
"176",2017,"Convento de la Luz","Rosmarinus officinalis","B",1,1,0,0,3,3,0,0,0
"177",2018,"Convento de la Luz","Rosmarinus officinalis","A",3,4,3,2,385,390,0,0,0
"178",2018,"Convento de la Luz","Rosmarinus officinalis","B",1,2,0,0,610,610,0,0,0
"179",2018,"Convento de la Luz","Rosmarinus officinalis","C",4,4,0,0,305,305,0,0,0
"180",2018,"Convento de la Luz","Rosmarinus officinalis","D",2,2,0,0,112,112,0,0,0
"181",2018,"Convento de la Luz","Rosmarinus officinalis","E",2,3,0,0,40,40,0,0,0
"182",2015,"Cotito de Santa Teresa","Asphodelus fistulosus","A",1,1,0,0,1,1,0,0,0
