"Site_ID","Year","Plant_genus","Plant_species","Plant_ID","Fruit_number","Seed_number","Seeds","Fruit_weight","Seed_weight","Notes","Plant_gen_sp"
"La_rocina",2015,"Halimium","calycinum","A1","b","1",3,0.0317,0.00387,NA,"Halimium calycinum"
"La_rocina",2015,"Halimium","calycinum","A1","b","2",NA,NA,0.0038,NA,"Halimium calycinum"
"La_rocina",2015,"Halimium","calycinum","A1","b","3",NA,NA,0.00351,NA,"Halimium calycinum"
"La_rocina",2015,"Halimium","calycinum","A1","c","1",2,0.02024,0.00332,NA,"Halimium calycinum"
"La_rocina",2015,"Halimium","calycinum","A1","c","2",NA,NA,0.00345,NA,"Halimium calycinum"
"La_rocina",2015,"Halimium","calycinum","A2","a",NA,0,0.02174,0,"Predado","Halimium calycinum"
"La_rocina",2015,"Halimium","calycinum","A3","a",NA,0,0.02057,0,"Predado","Halimium calycinum"
"La_rocina",2015,"Halimium","calycinum","A3","b",NA,0,0.00974,0,"Predado","Halimium calycinum"
"La_rocina",2015,"Anchusa","azurea","A1","a","1",1,0.00987,0.00292,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","A1","b","1",4,0.0127,0.00122,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","A1","b","2",NA,NA,0.00129,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","A1","b","3",NA,NA,0.00137,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","A1","b","4",NA,NA,0.0011,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","A2","a","1",3,0.01901,0.00331,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","A2","a","2",NA,NA,0.00309,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","A2","a","3",NA,NA,0.00336,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","A2","b","1",2,0.01428,0.00348,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","A2","b","2",NA,NA,0.00337,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","A3","a","1",3,0.00951,0.00216,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","A3","a","2",NA,NA,0.0022,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","A3","a","3",NA,NA,0.00222,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","B1","a","1",2,0.01385,0.00318,"1 aborto","Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","B1","a","2",NA,NA,0.00323,"1 aborto","Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","B1","b","1",2,0.01621,0.00294,"2 abortos","Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","B1","b","2",NA,NA,0.00292,"2 abortos","Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","B1","c","1",2,0.01314,0.00311,NA,"Anchusa azurea"
"La_rocina",2015,"Anchusa","azurea","B1","c","2",NA,NA,0.00328,NA,"Anchusa azurea"
"La_rocina",2015,"Halimium","halimifolium","A1","a","1",3,0.03011,0.0039,NA,"Halimium halimifolium"
"La_rocina",2015,"Halimium","halimifolium","A1","a","2",NA,NA,0.0396,NA,"Halimium halimifolium"
"La_rocina",2015,"Halimium","halimifolium","A1","a","3",NA,NA,0.0388,NA,"Halimium halimifolium"
"La_rocina",2015,"Salvia","rosmarinus","A1","a","1",2,0.00329,0.00067,"2 abortos","Salvia rosmarinus"
"La_rocina",2015,"Salvia","rosmarinus","A1","a","2",NA,NA,0.00061,"2 abortos","Salvia rosmarinus"
"La_rocina",2015,"Salvia","rosmarinus","A1","b","1",2,0.00265,0.00046,"2 abortos","Salvia rosmarinus"
"La_rocina",2015,"Salvia","rosmarinus","A1","b","2",NA,NA,0.00062,"2 abortos","Salvia rosmarinus"
"La_rocina",2015,"Salvia","rosmarinus","A1","c","1",2,0.0029,0.00059,"2 abortos","Salvia rosmarinus"
"La_rocina",2015,"Salvia","rosmarinus","A1","c","2",NA,NA,0.00056,"2 abortos","Salvia rosmarinus"
"La_rocina",2015,"Salvia","rosmarinus","A1","d","1",2,0.00356,0.00076,"2 abortos","Salvia rosmarinus"
