"Site_ID","Day","Month","Year","Plant_genus","Plant_species","Plant_ID","Notes","Fruit_Yes","Fruit_No","Fruit_preyed","Fruit_dispersed","Plant_gen_sp"
"Convento_de_la_luz",28,5,2015,"Halimium","halimifolium","A1",NA,4,1,0,0,"Halimium halimifolium"
"Convento_de_la_luz",28,5,2015,"Halimium","halimifolium","A2",NA,2,1,0,0,"Halimium halimifolium"
"Convento_de_la_luz",28,5,2015,"Halimium","halimifolium","A3",NA,6,2,0,0,"Halimium halimifolium"
"Convento_de_la_luz",28,5,2015,"Halimium","halimifolium","B1","fruto perdido",0,0,0,0,"Halimium halimifolium"
"Convento_de_la_luz",28,5,2015,"Halimium","halimifolium","B2","fruto perdido",0,0,0,0,"Halimium halimifolium"
"Convento_de_la_luz",28,5,2015,"Halimium","halimifolium","B3","fruto perdido",0,0,0,0,"Halimium halimifolium"
"Convento_de_la_luz",28,5,2015,"Teucrium","fruticans","A1",NA,24,0,0,21,"Teucrium fruticans"
"Convento_de_la_luz",28,5,2015,"Teucrium","fruticans","A2",NA,25,0,0,17,"Teucrium fruticans"
"Convento_de_la_luz",28,5,2015,"Teucrium","fruticans","A3",NA,37,0,0,37,"Teucrium fruticans"
"Convento_de_la_luz",28,5,2015,"Teucrium","fruticans","B1",NA,29,3,0,29,"Teucrium fruticans"
"Convento_de_la_luz",28,5,2015,"Teucrium","fruticans","B2",NA,33,1,0,33,"Teucrium fruticans"
"Convento_de_la_luz",28,5,2015,"Teucrium","fruticans","B3",NA,26,2,0,24,"Teucrium fruticans"
"Convento_de_la_luz",28,5,2015,"Teucrium","fruticans","C1",NA,31,3,0,29,"Teucrium fruticans"
"Convento_de_la_luz",28,5,2015,"Teucrium","fruticans","C2",NA,29,2,0,26,"Teucrium fruticans"
"Convento_de_la_luz",28,5,2015,"Teucrium","fruticans","C3",NA,36,0,0,36,"Teucrium fruticans"
"Convento_de_la_luz",28,5,2015,"Lavandula","stoechas","A1",NA,88,52,0,0,"Lavandula stoechas"
"Convento_de_la_luz",28,5,2015,"Lavandula","stoechas","A2",NA,102,29,0,0,"Lavandula stoechas"
"Convento_de_la_luz",28,5,2015,"Lavandula","stoechas","A3",NA,123,16,6,0,"Lavandula stoechas"
"Urbanizaciones",13,4,2015,"Salvia","rosmarinus","A1",NA,10,2,0,8,"Salvia rosmarinus"
"Urbanizaciones",13,4,2015,"Salvia","rosmarinus","A2",NA,17,0,0,16,"Salvia rosmarinus"
"Urbanizaciones",13,4,2015,"Salvia","rosmarinus","A3",NA,25,0,0,22,"Salvia rosmarinus"
"Urbanizaciones",13,4,2015,"Salvia","rosmarinus","B1",NA,41,2,0,35,"Salvia rosmarinus"
"Urbanizaciones",13,4,2015,"Salvia","rosmarinus","B2",NA,17,2,0,13,"Salvia rosmarinus"
"Urbanizaciones",13,4,2015,"Salvia","rosmarinus","B3",NA,25,1,0,19,"Salvia rosmarinus"
"Urbanizaciones",13,4,2015,"Salvia","rosmarinus","C1",NA,38,6,0,36,"Salvia rosmarinus"
"Urbanizaciones",13,4,2015,"Salvia","rosmarinus","C2",NA,26,12,0,26,"Salvia rosmarinus"
